"X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
793,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
1412,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
463,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
1204,9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
278,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
1397,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
241,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
24,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
679,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
1583,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
37,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
686,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
566,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
1327,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
19,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
378,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
549,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
1268,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6
48,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
1212,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5
464,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
393,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
1163,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
1323,9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
1395,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
670,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
1213,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
311,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
189,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
1442,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,6
1406,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7
38,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
1108,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
319,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
1588,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
846,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
1426,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6
120,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
712,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5
1355,7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
1557,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
441,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
1223,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
1523,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
599,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
72,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
1339,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
714,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
677,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
81,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
1079,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
134,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
424,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
756,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
6,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
1152,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
879,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
668,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
49,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5
1500,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
1263,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
1364,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
193,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
709,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6
459,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
303,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
1172,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
898,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
190,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
